BD,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10,MD11,MD12,MD13,MD14,MD15,MD16,MD17,MD18,MD19,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP,IDMAP_1,IPCA_1,LAMP_1,LMDS_1,MDS_1,PBC_1,TSNE_1,UMAP_1
data_k2d22n13,tabular,500,22,0.68182,0.0,26.0,0.0,0.0,0.30272,0.05059,-0.55058,0.49049,0.04849,0.22019,-0.02265,1.46207,0.00328,0.07193,0.21902,0.16384,0.03966,0.05114,0.2156,0.19182,0.0417,0.00202,0.56982,0.42955,0.00063,0.0,4.0,6.5,3.0,6.5,5.0,8.0,1.0,2.0,4.0,6.5,3.0,6.5,5.0,8.0,1.0,2.0
data_k2d22n14,tabular,500,22,0.81818,0.0,0.09,0.0,0.0,0.20288,0.06717,-0.17347,0.47874,0.03392,0.18418,-0.02323,1.77846,0.00204,0.04584,0.17201,0.1909,0.09842,0.15208,0.21768,0.10501,0.01528,0.00075,0.59421,0.39823,0.00756,0.0,2.0,6.0,4.0,7.0,5.0,8.0,1.0,3.0,2.0,6.0,4.0,7.0,5.0,8.0,1.0,3.0
data_k2d22n15,tabular,500,22,0.81818,0.0,62.0,0.0,0.0,0.15607,0.0791,-0.09703,0.4952,0.03032,0.17412,-0.06917,2.03773,0.00207,0.03299,0.12589,0.18021,0.1503,0.17703,0.20411,0.10513,0.02113,0.00115,0.61588,0.36733,0.01679,0.0,6.5,6.5,3.0,6.5,4.0,6.5,1.0,2.0,6.5,6.5,3.0,6.5,4.0,6.5,1.0,2.0
data_k2d23n11,tabular,500,23,0.78261,0.0,0.04,0.0,0.0,0.42251,-0.04676,-0.52646,0.49252,0.05235,0.2288,0.0134,1.37942,0.00152,0.07118,0.24993,0.15236,0.0239,0.03784,0.18985,0.21642,0.05445,0.00253,0.55664,0.44308,0.00028,0.0,3.0,7.0,5.0,8.0,4.0,6.0,1.0,2.0,3.0,7.0,5.0,8.0,4.0,6.0,1.0,2.0
data_k2d23n12,tabular,500,23,0.82609,0.0,66.0,0.0,0.0,0.2486,0.15007,-0.21719,0.48312,0.03289,0.18136,0.01518,1.90184,0.00204,0.03902,0.15587,0.19467,0.12301,0.15782,0.20002,0.10543,0.02053,0.0016,0.6052,0.38268,0.01212,0.0,4.0,6.0,3.0,6.0,6.0,8.0,1.0,2.0,4.0,6.0,3.0,6.0,6.0,8.0,1.0,2.0
data_k2d23n13,tabular,500,23,0.78261,0.0,0.09,0.0,0.0,0.22882,-0.04737,-0.13286,0.45928,0.03697,0.19228,0.00715,1.60619,0.00287,0.06964,0.22477,0.1631,0.05844,0.14848,0.23184,0.09064,0.00988,0.00034,0.58047,0.4161,0.00342,0.0,3.0,8.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,8.0,4.0,5.0,6.0,7.0,1.0,2.0
data_k2d23n14,tabular,500,23,0.73913,0.0,58.0,0.0,0.0,0.22891,-0.09515,-0.26025,0.49406,0.04552,0.21336,-0.03846,1.58115,0.0039,0.06585,0.19038,0.17055,0.06229,0.07562,0.21206,0.17325,0.04319,0.0029,0.57872,0.41914,0.00214,0.0,3.0,7.0,4.5,8.0,4.5,6.0,1.0,2.0,3.0,7.0,4.5,8.0,4.5,6.0,1.0,2.0
data_k2d23n15,tabular,500,23,0.73913,0.0,82.0,0.0,0.0,0.27206,0.10188,-0.41237,0.48543,0.04383,0.20934,-0.07436,1.54518,0.00382,0.07403,0.19732,0.16033,0.06036,0.07765,0.23743,0.16331,0.02485,0.00091,0.57312,0.42553,0.00135,0.0,3.0,6.0,5.0,7.0,4.0,8.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,8.0,1.0,2.0
data_k2d24n11,tabular,500,24,0.83333,0.0,0.07,0.0,0.0,0.11177,0.05559,-0.01783,0.47833,0.01954,0.13979,-0.00456,2.51025,0.00079,0.01671,0.09262,0.1958,0.24385,0.24294,0.15329,0.04742,0.00623,0.00035,0.65437,0.31144,0.03368,0.00051,7.0,6.0,3.0,5.0,4.0,8.0,1.0,2.0,7.0,6.0,3.0,5.0,4.0,8.0,1.0,2.0
data_k2d24n12,tabular,500,24,0.70833,0.0,66.0,0.0,0.0,0.37189,0.02197,-0.31373,0.46038,0.03745,0.19353,0.02106,1.5504,0.00162,0.06513,0.23733,0.16426,0.04653,0.14176,0.23743,0.09637,0.00926,0.00032,0.57363,0.42414,0.00224,0.0,4.0,6.5,3.0,6.5,5.0,8.0,1.0,2.0,4.0,6.5,3.0,6.5,5.0,8.0,1.0,2.0
data_k2d24n13,tabular,500,24,0.83333,0.0,0.07,0.0,0.0,0.14488,0.07405,-0.1817,0.47208,0.02101,0.14495,-0.0107,2.22317,0.0006,0.01856,0.11475,0.21208,0.20601,0.22957,0.16878,0.0453,0.00424,0.00011,0.63096,0.34487,0.02408,0.0001,7.0,4.0,3.0,6.0,5.0,8.0,1.0,2.0,7.0,4.0,3.0,6.0,5.0,8.0,1.0,2.0
data_k2d24n14,tabular,500,24,0.79167,0.0,0.1,0.0,0.0,0.30237,0.00474,-0.34846,0.48929,0.04923,0.22188,-0.02747,1.48544,0.00456,0.07927,0.21516,0.15309,0.04479,0.06076,0.20516,0.19058,0.04463,2,0.56675,0.43239,0.00086,0.0,4.0,6.0,3.0,7.0,5.0,8.0,1.0,2.0,4.0,6.0,3.0,7.0,5.0,8.0,1.0,2.0
data_k2d24n15,tabular,500,24,0.83333,0.0,0.06,0.0,0.0,0.18376,0.05717,-0.15609,0.44717,0.02468,0.15709,0.00688,2.1573,0.00309,0.04661,0.16208,0.19844,0.18106,0.21927,145,0.03949,0.00483,0.00012,0.62762,0.35083,0.02147,0.00008,5.0,4.0,3.0,6.0,7.0,8.0,1.0,2.0,5.0,4.0,3.0,6.0,7.0,8.0,1.0,2.0
data_k4d22n11,tabular,500,22,0.13636,0.0,2.0,0.0,0.0,0.51969,-0.05082,-1.15131,0.57594,0.09062,0.30104,-0.77256,2.00799,0.16759,0.08063,0.00028,0.00002,0.0264,0.13052,0.09259,0.20039,0.27166,0.02992,0.68368,0.31632,0.0,0.0,4.0,7.0,5.0,6.0,1.5,8.0,1.5,3.0,4.0,7.0,5.0,6.0,1.5,8.0,1.5,3.0
data_k4d22n12,tabular,500,22,0.13636,0.0,8.0,0.0,0.0,0.46245,0.06854,-1.10343,0.56019,0.07627,0.27617,-0.70268,2.16073,0.0956,0.14463,0.00823,0.00004,0.00082,0.13384,0.32314,0.06721,0.17373,0.05276,0.58355,0.41639,0.00006,0.0,5.0,6.0,4.0,7.0,3.0,8.0,1.0,2.0,5.0,6.0,4.0,7.0,3.0,8.0,1.0,2.0
data_k4d22n13,tabular,500,22,0.54545,0.0,0.07,0.0,0.0,0.37501,0.13424,-0.80646,0.58457,0.05899,0.24287,-0.89089,2.25598,0.01239,0.14103,0.08785,0.0071,0.00521,0.07822,0.21848,0.31826,0.12557,0.00588,0.68271,0.30557,0.01172,0.0,4.0,8.0,5.0,6.5,2.0,6.5,1.0,3.0,4.0,8.0,5.0,6.5,2.0,6.5,1.0,3.0
data_k4d22n14,tabular,500,22,0.13636,0.0,0.25,0.0,0.0,0.46682,-0.09847,-1.18308,0.58865,0.08267,0.28752,-0.94944,2.24181,0.1157,0.12782,0.00493,0.00004,0.0,0.01432,0.25493,0.23655,0.22605,0.01966,0.70391,0.29591,0.00018,0.0,5.0,8.0,3.5,6.0,3.5,7.0,1.0,2.0,5.0,8.0,3.5,6.0,3.5,7.0,1.0,2.0
data_k4d22n15,tabular,500,22,0.22727,0.0,128.0,0.0,0.0,0.43328,-0.03933,-1.01689,0.61716,0.07882,0.28074,-1.05832,2.32722,0.04511,0.18047,0.02274,0.00017,0.0,0.00116,0.09757,0.37122,0.27221,0.00934,0.74105,0.25552,0.00343,0.0,5.0,8.0,6.0,7.0,3.5,3.5,1.0,2.0,5.0,8.0,6.0,7.0,3.5,3.5,1.0,2.0
data_k4d23n11,tabular,500,23,0.3913,0.0,44.0,0.0,0.0,0.40012,-0.08477,-0.95528,0.62429,0.06999,0.26455,-1.05395,2.36748,0.01603,0.15515,0.07222,0.00503,0.00006,0.00297,0.09901,0.3876,0.2512,0.01073,0.73416,0.25294,0.0129,0.0,2.5,8.0,5.0,7.0,2.5,6.0,1.0,4.0,2.5,8.0,5.0,7.0,2.5,6.0,1.0,4.0
data_k4d23n12,tabular,500,23,0.3913,0.0,4.0,0.0,0.0,0.41986,-0.1387,-1.01194,0.57983,0.0692,0.26307,-0.87619,2.2215,0.03888,0.17966,0.02956,0.00041,0.00033,0.06959,0.25588,0.24104,0.17161,0.01306,0.66813,0.32872,0.00315,0.0,3.5,7.5,3.5,6.0,2.0,7.5,1.0,5.0,3.5,7.5,3.5,6.0,2.0,7.5,1.0,5.0
data_k4d23n13,tabular,500,23,0.52174,0.0,174.0,0.0,0.0,0.41359,0.06635,-0.93503,581.0,0.0583,0.24146,-0.87891,2.26531,0.01145,0.14522,0.08433,0.00745,0.00626,0.07347,0.25526,0.29053,0.11824,0.0078,0.67183,0.31777,0.0104,0.0,4.0,7.0,5.0,8.0,3.0,6.0,1.5,1.5,4.0,7.0,5.0,8.0,3.0,6.0,1.5,1.5
data_k4d23n14,tabular,500,23,0.26087,0.0,0.04,0.0,0.0,0.4293,12.0,-0.9817,0.6014,0.07657,0.27672,-0.91497,2.24702,0.04935,0.16879,0.0293,0.00104,0.00014,0.02543,0.21122,0.26175,0.21794,0.03505,0.67744,0.32012,0.00244,0.0,4.0,7.0,5.0,7.0,3.0,7.0,1.5,1.5,4.0,7.0,5.0,7.0,3.0,7.0,1.5,1.5
data_k4d23n15,tabular,500,23,0.34783,0.0,274.0,0.0,0.0,0.42355,-0.20324,-0.77766,0.57195,0.06693,0.25871,-0.83488,2.21238,0.03843,0.17517,0.03356,0.00133,0.00188,0.10553,0.23797,0.25487,0.13291,0.01835,0.65747,0.33922,0.00331,0.0,5.0,6.0,3.5,7.0,3.5,8.0,1.0,2.0,5.0,6.0,3.5,7.0,3.5,8.0,1.0,2.0
data_k4d24n11,tabular,500,24,125.0,0.0,252.0,0.0,0.0,0.48583,-0.04098,-1.18266,0.5906,0.08626,0.2937,-0.84488,2.13672,0.11048,0.13578,0.00222,0.00001,0.00026,0.08118,0.17166,0.21793,0.21851,0.06196,0.6636,0.33638,0.00002,0.0,4.0,7.0,5.0,6.0,2.5,8.0,1.0,2.5,4.0,7.0,5.0,6.0,2.5,8.0,1.0,2.5
data_k4d24n12,tabular,500,24,125.0,0.0,284.0,0.0,0.0,0.44173,-0.12004,-1.03868,0.58447,0.0806,0.28389,-0.97604,2.28268,0.11874,0.12445,0.00524,0.00006,0.0,0.0032,0.26628,0.28791,176,0.01811,0.68575,0.31391,0.00034,0.0,4.0,8.0,5.0,6.5,3.0,6.5,1.0,2.0,4.0,8.0,5.0,6.5,3.0,6.5,1.0,2.0
data_k4d24n13,tabular,500,24,0.41667,0.0,0.21,0.0,0.0,0.44198,-0.06687,-0.74506,0.4888,0.04796,0.21899,-0.44042,2.32077,0.0299,0.18215,0.03523,0.00232,0.12117,0.34301,0.15847,0.04417,0.07844,0.00515,0.62892,0.36876,0.00232,0.0,4.5,7.5,4.5,7.5,3.0,6.0,1.0,2.0,4.5,7.5,4.5,7.5,3.0,6.0,1.0,2.0
data_k4d24n14,tabular,500,24,0.20833,0.0,44.0,0.0,0.0,0.42256,0.18877,-1.11966,0.61655,0.08399,0.28981,-1.04067,2.29718,0.06891,0.17053,0.00905,0.00001,0.0,0.00394,0.10232,0.33484,0.2936,0.01681,0.73921,0.25933,0.00147,0.0,4.0,5.5,5.5,7.0,2.0,8.0,1.0,3.0,4.0,5.5,5.5,7.0,2.0,8.0,1.0,3.0
data_k4d24n15,tabular,500,24,0.20833,0.0,198.0,0.0,0.0,0.43638,0.11579,-1.0785,0.61148,0.08246,0.28716,-1.10062,2.35624,0.08232,0.15848,0.00766,0.00004,0.0,0.00006,0.04521,0.48265,0.21764,0.00595,0.74519,0.25277,0.00204,0.0,4.0,7.0,5.0,8.0,2.0,6.0,1.0,3.0,4.0,7.0,5.0,8.0,2.0,6.0,1.0,3.0
data_k6d22n11,tabular,500,22,0.22727,0.0,334.0,0.0,0.0,0.36642,0.13964,-0.95272,0.66811,0.07423,0.27245,-1.48919,3.68287,0.12206,0.04248,0.00046,0.0,0.00001,0.03626,0.09655,0.30709,0.34616,0.04892,0.83011,0.0219,0.14799,0.0,3.0,8.0,6.0,5.0,4.0,7.0,1.0,2.0,3.0,8.0,6.0,5.0,4.0,7.0,1.0,2.0
data_k6d22n12,tabular,500,22,0.22727,0.0,152.0,0.0,0.0,0.37938,0.12624,-1.01339,0.61755,0.06911,0.26288,-1.29976,3.28688,0.14455,0.02046,0.0,0.00569,0.04769,0.04562,0.16213,0.38903,0.14563,0.03921,0.78465,82.0,0.13335,0.0,4.0,7.0,5.0,8.0,1.0,6.0,2.5,2.5,4.0,7.0,5.0,8.0,1.0,6.0,2.5,2.5
data_k6d22n13,tabular,500,22,0.22727,0.0,318.0,0.0,0.0,0.38954,0.05793,-0.89473,0.61751,0.06879,0.26227,-1.28704,3.39688,0.14737,0.01764,0.0,0.0,0.03367,0.06124,0.22847,0.37501,0.06233,0.07427,0.7385,0.12273,0.13877,0.0,4.5,8.0,4.5,6.5,3.0,6.5,1.0,2.0,4.5,8.0,4.5,6.5,3.0,6.5,1.0,2.0
data_k6d22n14,tabular,500,22,0.22727,0.0,318.0,0.0,0.0,0.42693,0.01553,-0.99078,0.58089,0.06314,0.25128,-1.07624,2.99696,0.1364,0.0286,0.0,0.01929,0.05272,0.13695,0.21715,0.28325,0.09291,0.03274,0.76015,0.1516,0.08825,0.0,4.0,7.0,6.0,5.0,3.0,8.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,8.0,1.0,2.0
data_k6d22n15,tabular,500,22,0.22727,0.0,44.0,0.0,0.0,0.34416,-0.03777,-1.10317,0.68585,0.07986,0.28259,-1.5371,3.78027,0.14005,0.02476,0.00019,0.0,0.0,0.00037,0.11652,0.24253,0.36983,0.10576,0.83349,0.01,0.15651,0.0,5.0,7.0,3.5,6.0,3.5,8.0,1.0,2.0,5.0,7.0,3.5,6.0,3.5,8.0,1.0,2.0
data_k6d23n11,tabular,500,23,0.21739,0.0,42.0,0.0,0.0,0.34738,-0.09117,-1.17311,0.67079,0.07795,0.2792,-1.58904,3.88219,0.1582,0.0068,0.0,0.0,0.0,0.0034,0.08123,0.40322,0.27796,0.06919,0.83036,0.00699,0.16265,0.0,5.0,8.0,6.0,4.0,2.5,7.0,1.0,2.5,5.0,8.0,6.0,4.0,2.5,7.0,1.0,2.5
data_k6d23n12,tabular,500,23,0.21739,0.0,324.0,0.0,0.0,0.37409,0.07231,-1.01486,0.67098,0.08187,0.28612,-1.46739,3.66703,0.16158,0.00342,0.0,0.0,0.0,0.01258,0.11168,0.34261,0.24749,0.12064,0.81922,0.0195,0.16127,0.0,4.0,8.0,5.0,6.0,3.0,7.0,1.0,2.0,4.0,8.0,5.0,6.0,3.0,7.0,1.0,2.0
data_k6d23n13,tabular,500,23,0.21739,0.0,334.0,0.0,0.0,0.36507,0.13175,-0.77154,0.6041,0.06027,0.2455,-1.45123,3.69383,0.13338,0.03162,0.0,0.0,0.00048,0.08017,0.31145,0.34501,0.08661,0.01128,0.78653,0.06337,0.15011,0.0,4.0,5.5,5.5,7.0,2.0,8.0,1.0,3.0,4.0,5.5,5.5,7.0,2.0,8.0,1.0,3.0
data_k6d23n14,tabular,500,23,0.21739,0.0,304.0,0.0,0.0,0.37717,-0.0772,-1.03101,0.64553,0.07714,0.27774,-1.28914,3.34702,0.15008,0.01489,0.00003,0.0,0.00343,0.09994,0.1333,0.27532,0.20763,0.11537,0.7678,0.09356,0.13864,0.0,2.0,7.5,6.0,4.0,5.0,7.5,1.0,3.0,2.0,7.5,6.0,4.0,5.0,7.5,1.0,3.0
data_k6d23n15,tabular,500,23,0.21739,0.0,0.13,0.0,0.0,0.3792,-0.17482,-1.0278,0.63613,0.07052,0.26555,-1.32573,3.4696,0.14149,0.02351,0.0,0.0,0.00048,0.05108,0.30878,0.18393,0.22868,0.06205,0.77634,0.07485,0.1488,0.0,4.0,6.0,5.0,8.0,3.0,7.0,1.5,1.5,4.0,6.0,5.0,8.0,3.0,7.0,1.5,1.5
data_k6d24n11,tabular,500,24,0.20833,0.0,224.0,0.0,0.0,0.35214,0.09335,-0.87069,0.63694,0.06249,0.24998,-1.44511,3.68497,0.0827,0.08014,0.00216,0.0,0.0,0.02631,0.27674,0.27678,0.24164,0.01354,0.80973,0.05584,0.13443,0.0,4.5,8.0,4.5,6.0,3.0,7.0,1.0,2.0,4.5,8.0,4.5,6.0,3.0,7.0,1.0,2.0
data_k6d24n12,tabular,500,24,0.20833,0.0,52.0,0.0,0.0,0.33345,-0.04521,-1.04844,0.64439,0.06171,0.24842,-1.53087,3.88188,0.07739,0.08489,0.00272,0.0,0.0,0.00537,0.18273,0.48083,0.12119,0.04487,0.78583,0.07087,0.1433,0.0,3.5,8.0,6.0,7.0,2.0,5.0,1.0,3.5,3.5,8.0,6.0,7.0,2.0,5.0,1.0,3.5
data_k6d24n13,tabular,500,24,0.20833,0.0,0.0,0.0,0.0,0.37686,-0.01389,-1.20108,0.66002,0.07681,0.27715,-1.30201,3.26923,0.11832,0.04657,0.00011,0.00007,0.03929,0.02968,0.12466,0.22859,0.32947,0.08325,0.81762,0.05357,0.12881,0.0,4.0,6.5,5.0,6.5,2.5,8.0,1.0,2.5,4.0,6.5,5.0,6.5,2.5,8.0,1.0,2.5
data_k6d24n14,tabular,500,24,0.20833,0.0,196.0,0.0,0.0,0.35359,-0.19568,-0.71801,0.65164,0.07037,0.26527,-1.44189,3.64322,0.12187,0.04313,0.00001,0.0,0.0,0.00982,0.24758,0.23855,0.29023,0.04882,0.81162,0.03807,0.15031,0.0,4.0,8.0,5.0,6.0,3.0,7.0,1.5,1.5,4.0,8.0,5.0,6.0,3.0,7.0,1.5,1.5
data_k6d24n15,tabular,500,24,0.20833,0.0,332.0,0.0,0.0,0.34399,0.22112,-0.96908,0.66086,0.06863,0.26197,-1.55561,3.86747,0.10673,0.05804,0.00023,0.0,0.0,0.00034,0.13963,0.41622,0.23124,0.04756,0.81722,0.02869,0.15409,0.0,4.0,5.5,7.0,5.5,2.5,8.0,1.0,2.5,4.0,5.5,7.0,5.5,2.5,8.0,1.0,2.5
dermatology,tabular,366,34,0.08824,0.59691,0.46721,1.32443,0.07859,0.0,0.0,0.0,0.50438,0.02375,0.15411,-0.16353,2.51844,0.00094,0.02446,0.08653,0.14923,0.19686,0.25894,0.18313,0.08209,0.0168,0.00102,0.66331,0.30082,0.03568,0.00019,4.5,8.0,3.0,6.5,6.5,4.5,1.0,2.0,4.5,8.0,3.0,6.5,6.5,4.5,1.0,2.0
dim032,tabular,1024,32,375.0,0.0,0.02148,6.34596,0.25544,0.0,0.0,0.0,0.67634,0.03374,0.18369,-2.52435,9.5886,0.06156,0.00002,0.0,0.0,0.00052,0.07964,0.28777,0.44038,0.11751,0.01258,0.89573,0.04269,0.0,0.06158,3.0,5.0,4.0,8.0,1.0,6.0,2.0,7.0,3.0,5.0,4.0,8.0,1.0,6.0,2.0,7.0
dim064,tabular,1024,64,0.21875,0.0,0.06836,5.97113,0.3158,0.0,0.0,0.0,0.77908,0.04048,0.2012,-3.16989,12.21094,0.06156,0.00002,0.0,0.0,0.0,0.0,0.01089,0.28653,0.52679,0.11421,0.93074,0.00768,0.0,0.06158,5.0,3.0,6.0,7.0,2.0,8.0,1.0,4.0,5.0,3.0,6.0,7.0,2.0,8.0,1.0,4.0
dim1024,tabular,1024,1024,0.01465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972,0.05215,0.22836,-3.61321,14.15005,0.06158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93842,0.93842,0.0,0.0,0.06158,3.0,4.0,5.0,6.0,1.0,8.0,2.0,7.0,3.0,4.0,5.0,6.0,1.0,8.0,2.0,7.0
dim128,tabular,1024,128,0.10938,0.0,0.20801,5.73302,0.36781,0.0,0.0,0.0,0.84054,0.04583,0.21409,-3.41385,13.25944,0.06158,0.0,0.0,0.0,0.0,0.0,0.0,0.01621,0.50761,0.4146,0.93842,0.0,0.0,0.06158,3.0,7.5,6.0,7.5,1.0,4.5,2.0,4.5,3.0,7.5,6.0,7.5,1.0,4.5,2.0,4.5
dim256,tabular,1024,256,0.05469,0.0,0.25,5.44852,0.41337,0.0,0.0,0.0,0.85721,0.04768,0.21836,-3.51329,13.69945,0.06158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35944,0.57897,0.93842,0.0,0.0,0.06158,3.5,5.0,6.0,7.0,2.0,3.5,1.0,8.0,3.5,5.0,6.0,7.0,2.0,3.5,1.0,8.0
dim512,tabular,1024,512,0.02734,0.0,0.3125,5.19969,0.47746,0.0,0.0,0.0,0.8906,0.0513,0.2265,-3.57438,13.97366,0.06158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02792,0.9105,0.93842,0.0,0.0,0.06158,3.0,5.0,6.0,7.0,1.0,4.0,2.0,8.0,3.0,5.0,6.0,7.0,1.0,4.0,2.0,8.0
ellipsoid-100d10c-1,tabular,2892,100,0.1,0.0,0.30118,0.0,0.0,0.29999,-0.0415,1.72504,0.3748,0.02578,0.16055,0.21955,2.60318,0.03719,0.10574,0.19987,0.23976,0.18628,0.13951,0.06821,0.0194,0.0037,0.00034,0.65807,0.30627,0.03449,0.00118,2.0,8.0,3.0,7.0,5.0,6.0,1.0,4.0,2.0,8.0,3.0,7.0,5.0,6.0,1.0,4.0
ellipsoid-100d10c-10,tabular,2550,100,0.1,0.0,0.23961,0.0,0.0,0.29036,-0.02357,1.04653,0.40907,0.02681,0.16374,0.03256,2.38979,0.02019,0.09796,0.15488,0.20562,0.21301,0.17641,0.09837,0.02915,0.00418,0.00023,0.64581,0.32426,0.0297,0.00023,3.0,8.0,2.0,6.0,5.0,7.0,1.0,4.0,3.0,8.0,2.0,6.0,5.0,7.0,1.0,4.0
ellipsoid-100d10c-2,tabular,2986,100,0.1,0.0,0.2207,0.0,0.0,0.28178,0.00178,1.60153,0.37538,0.02483,0.15759,0.24278,2.68995,0.0296,0.10912,0.20213,0.22783,0.21856,0.12565,0.06047,0.02314,0.00317,0.00032,0.67232,0.28456,0.04204,0.00108,3.0,6.0,2.0,7.5,5.0,7.5,1.0,4.0,3.0,6.0,2.0,7.5,5.0,7.5,1.0,4.0
ellipsoid-100d10c-3,tabular,3100,100,0.1,0.0,0.2329,0.0,0.0,0.29982,-0.0922,1.19614,0.41568,0.03055,0.17479,0.1179,2.38834,0.0247,0.09259,0.16434,0.19694,0.19504,0.16119,0.11179,0.04282,0.00971,0.00088,0.64291,0.32517,0.03176,0.00016,3.0,8.0,2.0,7.0,5.0,6.0,1.0,4.0,3.0,8.0,2.0,7.0,5.0,6.0,1.0,4.0
ellipsoid-100d10c-4,tabular,2450,100,0.09,0.0,0.23061,0.0,0.0,0.27236,0.12171,1.61909,0.39501,0.02696,0.16421,0.01901,2.38062,0.03112,0.10764,0.16106,0.20479,0.21293,0.17088,0.08473,0.02393,0.00277,0.00016,0.6468,0.32313,0.02983,0.00025,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0
ellipsoid-100d10c-5,tabular,2987,100,0.1,0.0,0.2916,0.0,0.0,0.29287,-0.03629,1.5377,0.40939,0.02846,0.1687,0.16722,2.58155,0.02634,0.08699,0.15771,0.22396,0.20989,0.15309,0.09072,0.04284,0.00738,0.00109,0.6597,0.30213,0.0375,0.00068,3.0,7.0,2.0,6.0,5.0,8.0,1.0,4.0,3.0,7.0,2.0,6.0,5.0,8.0,1.0,4.0
ellipsoid-100d10c-6,tabular,2803,100,0.1,0.0,0.26008,0.0,0.0,0.28498,-0.09894,1.66895,0.3804,0.02553,0.15979,0.24621,2.64314,0.02899,0.10458,0.19656,0.23856,0.19941,0.13356,0.06931,0.0253,0.00347,0.00026,0.66371,0.29489,0.04055,0.00085,1.5,7.0,4.0,8.0,5.0,6.0,1.5,3.0,1.5,7.0,4.0,8.0,5.0,6.0,1.5,3.0
ellipsoid-100d10c-7,tabular,3152,100,0.09,0.0,0.27062,0.0,0.0,0.29134,0.10287,1.28765,0.42576,0.03094,0.17589,0.0631,2.35708,0.02063,0.09289,0.15041,0.18689,0.19168,0.17986,0.12002,0.04515,0.01126,0.00123,0.64332,0.32757,0.02898,0.00013,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0,4.0,8.0,2.0,7.0,5.0,6.0,1.0,3.0
ellipsoid-100d10c-8,tabular,2716,100,0.1,0.0,0.26915,0.0,0.0,0.28856,0.07112,1.86759,0.38636,0.02833,0.16832,0.23357,2.43757,0.02892,0.11382,0.19858,0.20839,0.18278,0.15085,0.08148,0.02937,0.00543,0.00039,0.64746,0.32086,0.03115,0.00053,2.0,8.0,3.0,7.0,5.0,6.0,1.0,4.0,2.0,8.0,3.0,7.0,5.0,6.0,1.0,4.0
ellipsoid-100d10c-9,tabular,2103,100,0.1,0.0,0.24774,0.0,0.0,0.30733,0.02254,1.37639,0.37922,0.02728,0.16516,0.19411,2.40562,0.02876,0.12734,0.19437,0.20652,0.19271,0.14555,0.07966,0.02105,0.00373,0.00031,0.64099,0.32952,0.02883,0.00066,4.0,6.0,2.0,7.5,5.0,7.5,1.0,3.0,4.0,6.0,2.0,7.5,5.0,7.5,1.0,3.0
ellipsoid-100d20c-1,tabular,1338,100,0.19,0.0,0.19955,0.0,0.0,0.21956,-0.15902,2.55014,0.37369,0.02354,0.15341,0.41828,2.74034,0.01686,105,0.23024,0.24672,0.19739,0.10643,0.07315,0.02102,0.00289,0.00031,0.67016,0.28731,0.04095,0.00158,4.5,8.0,3.0,6.0,4.5,7.0,2.0,1.0,4.5,8.0,3.0,6.0,4.5,7.0,2.0,1.0
ellipsoid-100d20c-10,tabular,1220,100,0.18,0.0,0.18361,0.0,0.0,0.20202,-0.05776,1.71967,0.42427,0.02641,0.16252,0.09345,2.45024,0.01264,0.07419,0.15564,0.21305,0.21242,0.17596,0.11209,0.0366,0.0069,0.00052,0.65062,0.31765,0.03142,0.00032,5.0,6.0,2.0,7.0,3.5,8.0,1.0,3.5,5.0,6.0,2.0,7.0,3.5,8.0,1.0,3.5
ellipsoid-100d20c-2,tabular,1007,100,0.17,0.0,0.21648,0.0,0.0,0.22442,-0.01646,1.75049,0.45436,0.03256,0.18046,0.09346,2.30786,0.01238,0.0684,0.1374,0.19487,0.18344,0.16239,0.14687,0.07137,0.02017,0.00271,0.63685,0.33442,0.02872,0.00002,3.5,6.0,2.0,8.0,5.0,7.0,1.0,3.5,3.5,6.0,2.0,8.0,5.0,7.0,1.0,3.5
ellipsoid-100d20c-3,tabular,1079,100,0.17,0.0,0.18628,0.0,0.0,0.20336,0.04383,1.68227,0.42972,0.02819,0.16789,0.04516,2.39232,0.01468,0.07947,0.15056,0.19926,0.19424,0.19195,0.11883,0.04161,0.00869,0.00071,0.64964,0.31901,0.03114,0.0002,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0,5.0,8.0,3.0,7.0,4.0,6.0,2.0,1.0
